Proxy,R2 (calibration) - Set1,R2 (validation) - Set1,Reduction of Error - Set1,Coefficient of Efficiency - Set1,Durbin-Watson - Set1,R2 (calibration) - Set2,R2 (validation) - Set2,Reduction of Error - Set2,Coefficient of Efficiency - Set2,Durbin-Watson - Set2,R2 (calibration) - full,R2 (validation) - full,Reduction of Error - full,Coefficient of Efficiency - full,Durbin-Watson - full,Score
rcspq20,0.5845513084033209,0.3443742415765709,0.11354790738958287,0.11275599246517776,1.9239146598940544,0.3443742415765661,0.5845513084033214,0.31444779995181393,0.31404055886395543,1.9139414115416606,0.47254889628648317,0.47254889628648317,0.3748438314653917,0.3748438314653917,2.0169647017457515,4.049211553513986
rcsq20,0.5820275739696478,0.34352051070409195,0.10432432152662574,0.1035241666811213,1.9242137706197875,0.34352051070409023,0.5820275739696426,0.31623144300077455,0.31582526145693846,1.914049226584355,0.4702742341329212,0.4702742341329212,0.37153086448561656,0.37153086448561656,2.0188577969408867,4.01342195977652
q80,0.6112807981155116,0.2836630036550074,0.13157060659536823,0.13079479230922453,1.9286899797269381,0.2836630036550036,0.6112807981155132,0.24326020302278328,0.24281067410561974,1.924352091406876,0.46923803580191503,0.46923803580191503,0.37001902135774123,0.37001902135774123,1.990472509372712,3.903867154906396
rcspq100,0.5968754968840758,0.2431482937683965,0.10206403643047068,0.10126186235176027,1.995963405270397,0.2431482937683983,0.596875496884077,0.2748809349804664,0.274450189842686,1.987867929690952,0.44664725132349054,0.44664725132349054,0.33663345024901825,0.33663345024901825,2.031879864707606,3.9031689485628345
rcsq100,0.5951057975556123,0.2431833029439539,0.09610999721686808,0.0953025040774288,1.9920620164310605,0.24318330294395538,0.5951057975556139,0.28248968210908254,0.28206345682326617,1.9835427979585403,0.4451948097939857,0.4451948097939857,0.33445839731584803,0.33445839731584803,2.028875101792822,3.885309680639006
rcspbw20,0.6011381524645387,0.3176889900739814,0.17740064489204577,0.17666577302300013,1.8649734859852225,0.31768899007398466,0.6011381524645382,0.3103335673363632,0.309923882255814,1.8697518915188658,0.47872407628212893,0.47872407628212893,0.38379777463564546,0.38379777463564546,1.917140651980794,3.8407539133895794
q100,0.5975050443662805,0.2437894884282184,0.09400347747393922,0.09319410246808335,1.9834851711203945,0.24378948842821924,0.5975050443662786,0.26435453867905,0.26391754050746596,1.9739118379435563,0.4463849057639188,0.4463849057639188,0.3362408458354754,0.3362408458354754,2.024980189380342,3.8281438672835417
rcsbw20,0.6009897908612108,0.31482288761951077,0.1633120986469503,0.16256464072827193,1.859117867016121,0.31482288761950994,0.6009897908612114,0.3192435956053652,0.3188392033815888,1.862170945696104,0.47667687839701817,0.47667687839701817,0.38083579381628474,0.38083579381628474,1.9138127658165205,3.7808133968077167
pq80,0.5944984292954473,0.2970318069251688,0.06462861169717404,0.06379299455730447,1.8818197211314005,0.2970318069251661,0.5944984292954468,0.3762728600964238,0.3759023451758047,1.8640710415416915,0.46006370375046846,0.46006370375046846,0.3565599103649246,0.3565599103649246,1.9464133521052767,3.6815127417554594
q20,0.5870900688089563,0.3436382094655119,0.07724877581776257,0.07642443294347245,1.863090389184783,0.3436382094655149,0.587090068808958,0.2801701902563438,0.2797425871142747,1.8462085652245157,0.4700961766233101,0.4700961766233101,0.3712711920670362,0.3712711920670362,1.974072209316619,3.624519607513322
pbw20,0.5808442966723876,0.3170940994858777,0.11116236683369718,0.11036832077870451,1.8441236205764517,0.3170940994858808,0.5808442966723869,0.3857097821375094,0.38534487306630294,1.836891201831078,0.46321989125665297,0.46321989125665297,0.3612051794365999,0.3612051794365999,1.8971104759347008,3.5935628732037133
pq100,0.591124088255174,0.24087330505013044,0.021823636700324833,0.020949779593714468,1.9298306569261554,0.24087330505013074,0.5911240882551753,0.35241547625089154,0.3520307892410426,1.912850440645924,0.43617247561877037,0.43617247561877037,0.3208670929443237,0.3208670929443237,1.9772082404352231,3.5650722815373768
