age_AD,trsgiFir,trsgiThl,trsgiCop,tempanom-JA,tempanom-JAerr+,tempanom-JAerr-
1179,0.985,NaN,NaN,-0.09,0.57,-0.76
1180,0.949,NaN,NaN,-0.11,0.56,-0.77
1181,1.007,NaN,NaN,-0.12,0.54,-0.79
1182,1.08,NaN,NaN,-0.15,0.51,-0.81
1183,1.121,NaN,NaN,-0.18,0.48,-0.85
1184,1.006,NaN,NaN,-0.22,0.44,-0.89
1185,1.096,NaN,NaN,-0.27,0.39,-0.93
1186,0.975,NaN,NaN,-0.32,0.34,-0.99
1187,1.15,NaN,NaN,-0.38,0.28,-1.04
1188,1.024,NaN,NaN,-0.44,0.22,-1.11
1189,0.963,NaN,NaN,-0.51,0.16,-1.17
1190,1.056,NaN,NaN,-0.57,0.09,-1.23
1191,0.936,NaN,NaN,-0.63,0.03,-1.3
1192,1.079,NaN,NaN,-0.69,-0.03,-1.35
1193,0.923,NaN,NaN,-0.74,-0.08,-1.41
1194,0.957,NaN,NaN,-0.78,-0.12,-1.45
1195,0.976,NaN,NaN,-0.82,-0.16,-1.48
1196,0.98,NaN,NaN,-0.85,-0.18,-1.51
1197,0.951,NaN,NaN,-0.86,-0.2,-1.52
1198,0.94,NaN,NaN,-0.87,-0.21,-1.53
1199,0.958,NaN,NaN,-0.87,-0.21,-1.53
1200,1.12,NaN,NaN,-0.87,-0.2,-1.53
1201,1.071,NaN,NaN,-0.86,-0.2,-1.52
1202,1.029,NaN,NaN,-0.85,-0.19,-1.52
1203,0.989,NaN,NaN,-0.85,-0.18,-1.51
1204,0.92,NaN,NaN,-0.84,-0.18,-1.51
1205,0.987,NaN,NaN,-0.84,-0.18,-1.51
1206,1.033,NaN,NaN,-0.85,-0.19,-1.51
1207,1.028,NaN,NaN,-0.86,-0.2,-1.52
1208,0.943,NaN,NaN,-0.88,-0.22,-1.55
1209,1.039,NaN,NaN,-0.91,-0.25,-1.57
1210,1.08,NaN,NaN,-0.94,-0.28,-1.61
1211,1.049,NaN,NaN,-0.98,-0.32,-1.64
1212,1.005,NaN,NaN,-1.02,-0.36,-1.69
1213,0.993,NaN,NaN,-1.07,-0.41,-1.73
1214,0.893,NaN,NaN,-1.11,-0.45,-1.78
1215,1.039,NaN,NaN,-1.15,-0.49,-1.82
1216,1.023,NaN,NaN,-1.19,-0.53,-1.85
1217,0.878,NaN,NaN,-1.22,-0.56,-1.88
1218,0.897,NaN,NaN,-1.24,-0.58,-1.91
1219,0.992,NaN,NaN,-1.26,-0.6,-1.92
1220,0.966,NaN,NaN,-1.27,-0.6,-1.93
1221,1.066,NaN,NaN,-1.26,-0.6,-1.93
1222,0.855,NaN,NaN,-1.26,-0.59,-1.92
